Contig	Start	End	Name	SNPs	pi_C2	pi_C3	pi_C4	pi_C2_C3	pi_C2_C4	pi_C3_C4	Fst	Fst_C2_C3	Fst_C2_C4	Fst_C3_C4
NODE_1	196	435	fig|6666666.153583.peg.1	0	0	0	0	0	0	0	NA	NA	NA	NA
NODE_1	499	936	fig|6666666.153583.peg.2	1	0.000627823697446931	0	0	0.000368242745617911	0.000368242745617911	0	0.147540983606557	0.147540983606557	0.147540983606557	NA
NODE_1	1321	2430	fig|6666666.153583.peg.3	2	0.000448079003525144	0.000397667410114281	0.00032269639326576	0.00042091106394428	0.000414439827513177	0.000402040653410296	0.055721035308946	-0.00466165668596608	0.0700997519761816	0.104115719057786
NODE_1	2417	3124	fig|6666666.153583.peg.4	15	0.00753065176315287	0.00449753633823026	0.000294747752374871	0.0062530479036745	0.00494835242814098	0.00271327378967359	0.114392780875327	0.0382139808720358	0.209292423168451	0.116881586214407
NODE_1	3150	3638	fig|6666666.153583.peg.5	2	0.00056215265712994	0	0	0.000300814960162716	0.000300814960162716	0	0.0656171873468965	0.0656171873468966	0.0656171873468966	NA
NODE_1	3639	4712	fig|6666666.153583.peg.6	18	0.00551411047347558	0.00420139098238216	0.00328223967917096	0.00494258556546529	0.0045734425466199	0.00377767746844097	0.0222635023549053	0.0171640604725536	0.0383228757134314	0.00949317086066892
NODE_1	4750	5124	fig|6666666.153583.peg.7	2	0	0.00083627050971726	0	0.000453361307806626	0	0.000453361307806627	0.0776997338357369	0.0776997338357368	NA	0.0776997338357369
NODE_1	5121	5957	fig|6666666.153583.peg.8	3	0.000597785114137463	0.00107915618255131	0.000465372508383261	0.0008735173531463	0.000570961243999874	0.000897817765495395	0.0853788447777803	0.0401213606984211	0.0689756671812224	0.13984287775686
NODE_1	5954	6688	fig|6666666.153583.peg.9	2	0.0011779033336809	0.000999214312703291	0.000865984654971948	0.001126202202547	0.00105840047705825	0.00104209608665158	0.0568991648122373	0.0334250628082307	0.0344448850147493	0.105073422898835
NODE_1	6688	6849	fig|6666666.153583.peg.10	2	0.00524581353491928	0.00447066257240721	0.00490392682949317	0.00509856958560092	0.00504254686036716	0.00493462679445689	0.0302035061451781	0.0471370504810606	-0.00641011828628146	0.0501217424962171
NODE_1	6846	7793	fig|6666666.153583.peg.11	9	0.00312249995650122	0.00257350245998112	0.00226891324307263	0.00308667140339165	0.00299362859130751	0.00278115633172015	0.101173061609683	0.0773228387343809	0.0995186885860344	0.129424037076925
NODE_1	7801	7896	fig|6666666.153583.peg.12	0	0	0	0	0	0	0	NA	NA	NA	NA
NODE_1	8080	9315	fig|6666666.153583.peg.13	17	0.00388220412718076	0.00409176668704291	0.00325038395181415	0.00407212239807063	0.00421811919573904	0.00393544245400043	0.0819037427972495	0.0209072770010871	0.154529809612783	0.0671759624646956
NODE_1	9308	9979	fig|6666666.153583.peg.14	1	0.000661271145626392	0.000509730297157623	0.000550279120302724	0.000598729407383451	0.000611508163071109	0.000526731385227259	0.0090320512314066	0.0220945987090488	0.00937523070462176	-0.00621440756088942
NODE_1	9976	10545	fig|6666666.153583.peg.15	9	0.00369403079076861	0.0037268003276974	0.00450045914601855	0.00380522917295602	0.0042796829459929	0.00439827800734999	0.0450125213290298	0.0249166632056925	0.0426288535626553	0.0647181169576683
NODE_1	10545	11900	fig|6666666.153583.peg.16	26	0.00550410727626046	0.00564087046205978	0.00338939171149568	0.00557568438665892	0.00524693592426395	0.00503783060292046	0.0836093167357541	0.000573116639536964	0.152505470227966	0.10375488128555
NODE_1	12031	12396	fig|6666666.153583.peg.17	8	0.0102350396172406	0.0104130230786816	0.00734021304648565	0.0103673155586172	0.0118531046187515	0.0109060188022415	0.155107623863978	0.00417506445244553	0.258622393498397	0.186080803312094
NODE_1	12402	13532	fig|6666666.153583.peg.18	22	0.00621051673835957	0.0051210130825466	0.00506861729925017	0.00570319798191998	0.00590351773095035	0.00535482350824149	0.0330979455129123	0.00656352305944152	0.044710751144469	0.0485559079478417
NODE_1	13627	15456	fig|6666666.153583.peg.19	40	0.00857701551937184	0.00815293662896751	0.0064070584469744	0.00857137421247877	0.0081632156903064	0.00864113805304081	0.0882227837723273	0.0240799355147284	0.0822198913511851	0.157518663249556
