Contig	Length	SNPs	pi_A	pi_B	pi_C	pi_A_B	pi_A_C	pi_B_C	Fst	Fst_A_B	Fst_A_C	Fst_B_C
Cluster_representative_38839	1569	18	0.00011255105730187	0.0012241296308657	0.00294724546983914	0.00504563529341826	0.00454493724881733	0.00581194812885657	0.721868501300122	0.867540893223972	0.663384073351373	0.641137961986121
Cluster_representative_33947	1146	12	0	0.00040135490495728	0.00300047174819468	0.000209424471854926	0.00607729227579324	0.00596459581165282	0.722329616791194	0.0417669401231434	0.753140739984976	0.714831753854475
Cluster_representative_23489	903	14	0	0.000776770362507404	0.00426173355831204	0.00133920901644003	0.00992723912318819	0.0107796978824205	0.771456475168932	0.709989123067487	0.785351520930053	0.766296607948716
Cluster_representative_8284	1074	15	5.19325182090512e-05	0.0019149436125897	0.00374519713768724	0.00650423130571277	0.00512378837321979	0.00648543714832856	0.68465029491835	0.848800262602038	0.629460725218227	0.563626890460601
Cluster_representative_38835	492	2	0	0.000124715483980266	0	6.3289627156614e-05	0	6.3289627156614e-05	0.0147241374036677	0.0147241374036676	NA	0.0147241374036676
NODE_660114_length_511_cov_1.42708_1_len_99_K	99	3	0	0	0.00458485564868544	0	0.00343864173651408	0.00343864173651408	0.333333333333333	NA	0.333333333333333	0.333333333333333
Cluster_representative_23719	780	11	0	0.000530404798958354	0.00308681058150843	0.000274009935493087	0.0036206104705146	0.00378335926753085	0.52888448077908	0.0321431264821145	0.573716834958264	0.5219571913894
Cluster_representative_1170	966	10	0	0.000503802007320995	0.0019580941705243	0.000267279983361412	0.00262752694524645	0.00272451309507531	0.561887173631437	0.0575388381408248	0.627388374823947	0.548195201870145
Cluster_representative_13016	234	4	0.000453772631191986	0.00284077328119431	0.00356780718613225	0.0152528392165092	0.0096048026268312	0.00689540642913378	0.783883643559748	0.892002208060373	0.790647451406764	0.535300744547147
Cluster_representative_2531	2358	35	0	0.000739360965177294	0.00574000060240097	0.000382841672334405	0.00554862921734519	0.00557790343817904	0.437036160002646	0.0343776310073739	0.482755075392536	0.419193820815451
Cluster_representative_20010	1104	9	0	0.000372812872706596	0.0013588381274358	0.00019764948342466	0.0013069949043743	0.00138287924801339	0.400298934815391	0.0568837665373799	0.480167014083989	0.37389652689125
Cluster_representative_24599	789	7	0.00318005333853024	0.000531650270757055	0.0010442803737972	0.00436434600287938	0.00304015052497371	0.00544574916378946	0.629891591397536	0.574769781447381	0.305242671764753	0.855306350223297
Cluster_representative_50371	711	18	0	0.000214551611534438	0.00584734272579531	0.000110806354182271	0.00456063827004244	0.00460482376132983	0.346515852563125	0.0318623281228506	0.358933730372253	0.341788670802557
NODE_876053_length_422_cov_2.29831_1_len_102_T	102	1	0	0	0	0	0	0	NA	NA	NA	NA
NODE_272740_length_1213_cov_2.03683_1_len_198_D	198	8	0.0119251475019984	0.0182904685166167	0.011014039691948	0.0190891014226646	0.0182066981178955	0.0178274255339217	0.252045654896752	0.20856368904982	0.370034394885714	0.178105998737605
Cluster_representative_49740	303	5	0	0.00087041671200087	0.00461869476252954	0.00282885431400283	0.00919205808232011	0.0120209123963229	0.771684906537981	0.846153846153846	0.748767103016185	0.771684906537981
Cluster_representative_1437	1317	12	0	0.000260073088884432	0.00259755229534965	0.000134055800147829	0.00428166158062654	0.0042377991241856	0.669772931894662	0.029981960505856	0.696665389541419	0.662840863795869
Cluster_representative_25887	723	9	7.60950925250474e-05	0.000790792836068052	0.00422448978920511	0.000452268144551714	0.00444225620148312	0.00449570340829208	0.457800401544877	0.0416217248150942	0.515945874497926	0.44221380173537
Cluster_representative_31137	2679	130	0.000388063668680458	0.00260894086594926	0.0158928637881834	0.00266780043286832	0.0178411486695921	0.0185812017172938	0.516761436661761	0.438300463238278	0.543725357644361	0.502136488919531
Cluster_representative_1506	672	11	0	0.000356947747344031	0.00297253754875162	0.000183398785993157	0.00312489847764153	0.00326097198124554	0.493172654067955	0.0268535710008718	0.524378540611806	0.489494954994378
Cluster_representative_24288	744	10	0	0.000759185778855233	0.00382109165174392	0.000405048149515763	0.00597716947936165	0.00581006582336439	0.624329810856147	0.0628450225450431	0.680359435604292	0.605832569729228
Cluster_representative_15504	1101	10	0	0.000480431487723948	0.00294142176086918	0.000248065595507024	0.00229622545011517	0.00242799061848207	0.311814277679388	0.0316442577577355	0.359509372060646	0.295332275473864
Cluster_representative_34276	2394	13	0	0.000217295300201063	0.00132921160295275	0.00011269940585121	0.00189123410223032	0.00192335958767844	0.606215562361906	0.035951882089134	0.648586179419773	0.597967298195004
Cluster_representative_50998	375	1	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_32375	861	13	2.05564634660253e-05	0.000798707552894012	0.00637790159940056	0.00042768778603966	0.0070798410109779	0.0070620368400744	0.506013714133132	0.0422171931231332	0.548121345313741	0.4918881538843
Cluster_representative_25084	684	14	0	0.00038183830156877	0.00595309130532587	0.000201176324797322	0.0125374638244987	0.0125376373768241	0.749372525272038	0.050985989645007	0.762587897015771	0.747363501731004
Cluster_representative_26995	285	2	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_40433	696	10	0	0.000689789497679046	0.00404929353582226	0.000363996518061737	0.00456826553390531	0.00471505389580407	0.508766680892606	0.0524778899642498	0.556801864321512	0.497451870304323
Cluster_representative_21160	1020	16	0	0.000992627140118175	0.00399960106362742	0.000530437796903893	0.00558300552062845	0.00556759842274134	0.572621319677894	0.0643321932260196	0.641805739860955	0.551671310977242
Cluster_representative_37753	777	6	0	0.000321786843833242	0.00340756529130974	0.000169467203573256	0.00351645331841715	0.00346690956536396	0.478618660083066	0.0505925717534431	0.515482649312749	0.462150358290141
Cluster_representative_39469	900	13	3.2998324958124e-05	0.000684109188687757	0.00554559425751099	0.00145333217619165	0.00630989745014902	0.00525490335791062	0.518924735310878	0.753288503002457	0.557949029556941	0.407248523722069
Cluster_representative_16973	600	4	6.99904122722915e-05	0.000704573263327975	0.00133756812577254	0.0047084493252146	0.00386071534879229	0.00126294941926869	0.785180299848499	0.917747476706149	0.817707547581157	0.19151893260974
Cluster_representative_33897	708	7	0.000116741097117642	0.00111717261938117	0.00305252937294022	0.00648774891810415	0.00623543837711156	0.00341470821330136	0.734386488797329	0.904904325670221	0.745866266460806	0.389449737450613
Cluster_representative_40503	897	7	0	0.000223824935965522	0.00326313321752598	0.00011596646548931	0.00250681723447765	0.0025617900048746	0.327435898879162	0.0349583605005391	0.349148160335287	0.319429354697988
Cluster_representative_29738	825	13	4.60744646791158e-05	0.000319186678162759	0.00458832858591778	0.000187966218661981	0.00563238669789078	0.00556757320490963	0.565013886117174	0.0283862030051156	0.588593317613261	0.5592769880643
Cluster_representative_26192	483	7	0	0.000143518358735334	0.00430430760204385	7.41834759679258e-05	0.00930744074204231	0.00938162421801024	0.762950110907207	0.0326797385620914	0.768770614751217	0.762950110907207
NODE_726294_length_477_cov_2.08571_1_len_72_J	72	2	0	0.000134843581445523	0	6.74217907227616e-05	0	6.74217907227616e-05	0	2.22044604925031e-16	NA	0
NODE_580494_length_487_cov_1.3_1_len_90_A	90	3	0	0.00120502542033876	0.00247477631829431	0.000619250561609534	0.00970873786407767	0.00978779562596614	0.817068938044668	0.0270292067182765	0.872549019607843	0.812020914654629
