Contig	Length	SNPs	pi_A	pi_B	pi_C	pi_D	pi_E	pi_F	pi_A_B	pi_A_C	pi_A_D	pi_A_E	pi_A_F	pi_B_C	pi_B_D	pi_B_E	pi_B_F	pi_C_D	pi_C_E	pi_C_F	pi_D_E	pi_D_F	pi_E_F	Fst	Fst_A_B	Fst_A_C	Fst_A_D	Fst_A_E	Fst_A_F	Fst_B_C	Fst_B_D	Fst_B_E	Fst_B_F	Fst_C_D	Fst_C_E	Fst_C_F	Fst_D_E	Fst_D_F	Fst_E_F
Cluster_representative_38839	1569	18	0.00011255105730187	0.0012241296308657	0.00294724546983914	0.00188135888630922	0.00382675080276025	0.000317446792862642	0.00504563529341826	0.00454493724881733	0.00469503645012626	0.00414020207006965	0.00320594228318595	0.00581194812885657	0.00186010709970052	0.00396491810051337	0.00375592460734439	0.0059667419269383	0.00480074384293157	0.00597439988236787	0.00362479290181457	0.00251616503911053	0.00308947477063294	0.590873866715367	0.867540893223972	0.663384073351373	0.78765767158661	0.524262126172521	0.932937368769909	0.641137961986121	0.165239324747777	0.363053623608017	0.79478070183918	0.595373453781497	0.294484720053	0.72677655270977	0.212629542750981	0.563064098539986	0.329303861773585
Cluster_representative_33947	1146	12	0	0.00040135490495728	0.00300047174819468	0.00368364640847454	0.00419655313894965	0.000457890914817555	0.000209424471854926	0.00607729227579324	0.00264314115704718	0.00583924826877105	0.00849058135970886	0.00596459581165282	0.00272222671644948	0.00575242059576	0.00829124773756486	0.00563483440716021	0.00447002886906972	0.00478887351625354	0.0050783108411045	0.00598765395612337	0.00347758221236245	0.610887176450999	0.0417669401231434	0.753140739984976	0.303168807565736	0.640659812206198	0.973035361454139	0.714831753854475	0.249694875017654	0.600350151091529	0.948183563742651	0.406893115778551	0.194968858373152	0.638916892326089	0.224131823160485	0.654160264300454	0.330793095671308
Cluster_representative_23489	903	14	0	0.000776770362507404	0.00426173355831204	0.00304398698352239	0.00575323920183927	0.000314572965328928	0.00133920901644003	0.00992723912318819	0.00239788049212686	0.00674585746208779	0.00874336202939784	0.0107796978824205	0.00363623849884433	0.00782397826561168	0.00983586482248605	0.00948497485416607	0.00685417439772674	0.00709585460345387	0.00628419603495836	0.00643464220915944	0.00459052443879265	0.653089377801904	0.709989123067487	0.785351520930053	0.36527550194496	0.57357243062332	0.982010754886322	0.766296607948716	0.4746277853826	0.582692503566397	0.94452224854995	0.614879287812474	0.269425303544007	0.677536619661466	0.300051578879497	0.739025120614278	0.339093795483192
Cluster_representative_8284	1074	15	5.19325182090512e-05	0.0019149436125897	0.00374519713768724	0.00308933560815562	0.00338718959505494	0.000146572551391435	0.00650423130571277	0.00512378837321979	0.00398851431709015	0.00275751158095752	0.000100021750516018	0.00648543714832856	0.00358562539982864	0.00544293210881467	0.00646774380246603	0.00550796585988726	0.00452945473387277	0.00510512789193709	0.00406633645804032	0.00397520967886025	0.002767089145501	0.535622262590839	0.848800262602038	0.629460725218227	0.606210749588533	0.376408400781805	0.0076904844376936	0.563626890460601	0.302174842220763	0.512934104114766	0.840630965995041	0.379577422981454	0.212666076624653	0.618837199433805	0.20364125422964	0.592988996686731	0.361465792999134
Cluster_representative_38835	492	2	0	0.000124715483980266	0	0.000854313716790876	0.000952194149090614	0.000133134056242779	6.3289627156614e-05	0	0.000607116460774997	0.000757946542676129	0.00196372732958099	6.3289627156614e-05	0.000650439256744767	0.000796308842632706	0.0019624339407596	0.000607116460774997	0.000757946542676129	0.00196372732958099	0.000912263770164088	0.00139770798307384	0.00125708793748601	0.624946012037603	0.0147241374036676	NA	0.296416938110749	0.371859296482412	0.966101694915254	0.0147241374036676	0.247409200306529	0.323811582004747	0.934303638235273	0.296416938110749	0.371859296482412	0.966101694915254	0.00987635102698692	0.646761775352366	0.568316514314867
NODE_660114_length_511_cov_1.42708_1_len_99_K	99	3	0	0	0.00458485564868544	0.0146446760261002	0.014905364167041	0.00205768264750712	0	0.00343864173651408	0.0120720375240003	0.0128667997344543	0.0292412764003673	0.00343864173651408	0.0120720375240003	0.0128667997344543	0.0292412764003673	0.0127705116267298	0.0132287620225084	0.0260605327940918	0.0146854543033364	0.0180150297940904	0.0172752563125699	0.583558830512765	NA	0.333333333333333	0.393446383968521	0.420781994176537	0.964815444111713	0.333333333333333	0.393446383968521	0.420781994176537	0.964815444111713	0.247111931109454	0.263339238298933	0.872555592998112	-0.00609894603082561	0.536432665820894	0.509036320282978
Cluster_representative_23719	780	11	0	0.000530404798958354	0.00308681058150843	0.00398038801099342	0.0052910355572785	0.000697902113897464	0.000274009935493087	0.0036206104705146	0.00297570600688296	0.00622703462541141	0.0124610454235656	0.00378335926753085	0.00306997921223198	0.00621603798195914	0.0122014808244657	0.00580452378137581	0.00596801044553571	0.0106286223566067	0.00631732625122108	0.00965426673140295	0.00654412469820445	0.645245715788654	0.0321431264821145	0.573716834958264	0.331185943472476	0.575156083468145	0.971996646742912	0.5219571913894	0.265338215975693	0.531740284315148	0.949665662286135	0.391233556904581	0.298103931348356	0.821956573089957	0.266190853568798	0.757708676637576	0.542418738382294
Cluster_representative_1170	966	10	0	0.000503802007320995	0.0019580941705243	0.00240379821992006	0.00287820473850831	0.000502549892386534	0.000267279983361412	0.00262752694524645	0.0018931131801088	0.00274826482110968	0.00604040653021175	0.00272451309507531	0.00198195884894995	0.00276994382529946	0.0058429981333604	0.00344237142503982	0.00316825902463388	0.00575090618944931	0.00284635612376668	0.0042748972956387	0.00402723200688349	0.590998862168947	0.0575388381408248	0.627388374823947	0.365120309451887	0.476359644019646	0.958400987593055	0.548195201870145	0.266483199491879	0.389517087866633	0.913883944788396	0.36644076831513	0.236757652794583	0.786064666867183	0.0721465043807464	0.660068077510109	0.580263239724414
Cluster_representative_13016	234	4	0.000453772631191986	0.00284077328119431	0.00356780718613225	0.00372101347129406	0.00209043109157205	0	0.0152528392165092	0.0096048026268312	0.0141339386162166	0.0101202156713774	0.00832012223141255	0.00689540642913378	0.00359246279407982	0.00642679932150354	0.00774846261131159	0.00606102976069419	0.00302587047553491	0.00302587047553491	0.00527304757362119	0.00581381638480404	0.00180009343996482	0.704145292094794	0.892002208060373	0.790647451406764	0.852313420347811	0.874300913864923	0.972730410769762	0.535300744547147	0.0867286415183154	0.616356126426185	0.816687940324626	0.398714331952769	0.0650230531258852	0.41044945330954	0.448948214317439	0.679985294941554	0.419354838709677
Cluster_representative_2531	2358	35	0	0.000739360965177294	0.00574000060240097	0.00519027349866822	0.00619911314696079	0.000908312271870636	0.000382841672334405	0.00554862921734519	0.00383472396610903	0.00743291922220655	0.0116665701772851	0.00557790343817904	0.00400836305499055	0.00738914577204551	0.0114210784043509	0.00655689062601448	0.00688801452843343	0.00875751395863962	0.00675568374873492	0.00806454943789975	0.00558002307340943	0.529938200752049	0.0343776310073739	0.482755075392536	0.32325331046779	0.58299606375108	0.96107200925088	0.419193820815451	0.260342141854776	0.530495518278473	0.927867002628218	0.16650477150684	0.133341422257633	0.620422364973064	0.157051523632836	0.621889243937284	0.363136556486608
Cluster_representative_20010	1104	9	0	0.000372812872706596	0.0013588381274358	0.00335950939782036	0.00375852298488909	0.000591134360981874	0.00019764948342466	0.0013069949043743	0.00264329984793904	0.00375511350803292	0.00698226899351467	0.00138287924801339	0.00269716679773615	0.00371772420925808	0.00679922105267636	0.00331755411320802	0.00366363903082213	0.00660768165141556	0.00381037445450663	0.00454726130839622	0.00392099135248587	0.573584080699265	0.0568837665373799	0.480167014083989	0.364523589626099	0.499546022131039	0.957668892337796	0.37389652689125	0.308103178183186	0.444373005492499	0.929113406799075	0.288881603095602	0.301601349195073	0.852446546967049	0.0659668140632792	0.565601854515417	0.445337039175905
Cluster_representative_24599	789	7	0.00318005333853024	0.000531650270757055	0.0010442803737972	0.00196579444496943	0.00262415089247249	0.000172407212416377	0.00436434600287938	0.00304015052497371	0.00453732677743527	0.00396113072909271	0.00449454497187064	0.00544574916378946	0.00283199710157894	0.0045092536881803	0.0047972183351128	0.0039881483431352	0.00267814559175703	0.00355416770637223	0.00293320446456793	0.00240563012810663	0.00221131067609234	0.573186559095117	0.574769781447381	0.305242671764753	0.432942783723375	0.26735512812371	0.627052285389492	0.855306350223297	0.559066512756304	0.650075003375663	0.926618153063813	0.622622510525734	0.315117281606978	0.828836497496702	0.217588580529105	0.555583871268545	0.367669560156347
Cluster_representative_50371	711	18	0	0.000214551611534438	0.00584734272579531	0.00288567162886846	0.00470161908910351	0.0078697909250285	0.000110806354182271	0.00456063827004244	0.00201905776572818	0.0032786543204002	0.00992737011209545	0.00460482376132983	0.00212986411991045	0.00336141111763781	0.00994270592649227	0.00625770121593969	0.00696015237724866	0.0121746715692499	0.00390353608961298	0.00915120663876553	0.00911787533363223	0.38517545227182	0.0318623281228506	0.358933730372253	0.285391513345894	0.282995608922624	0.603631634754909	0.341788670802557	0.272201636850604	0.268734092827549	0.593453603257929	0.302218653998777	0.242188874385764	0.436652825794917	0.0281515856659816	0.412347301374682	0.310617355791154
NODE_876053_length_422_cov_2.29831_1_len_102_T	102	1	0	0	0	0	0.00478704302233714	0.000412654280273434	0	0	0	0.00401493930905696	0.00959421201635734	0	0	0.00401493930905696	0.00959421201635734	0	0.00401493930905696	0.00959421201635734	0.00401493930905696	0.00959421201635734	0.00575103481677876	0.784021383278248	NA	NA	NA	0.403846153846154	0.978494623655914	NA	NA	0.403846153846154	0.978494623655914	NA	0.403846153846154	0.978494623655914	0.403846153846154	0.978494623655914	0.547933765985875
NODE_272740_length_1213_cov_2.03683_1_len_198_D	198	8	0.0119251475019984	0.0182904685166167	0.011014039691948	0.00865997060461484	0.0130893771069704	0.00989853397802632	0.0190891014226646	0.0182066981178955	0.0114646334196139	0.0149995380597751	0.0145632007986084	0.0178274255339217	0.018630001402437	0.0181418152237084	0.0178152172041808	0.0168603644943826	0.0158614419320789	0.0156822866445241	0.0119566440467791	0.0104928806495854	0.0117144238013223	0.219076667310558	0.20856368904982	0.370034394885714	0.102233915678636	0.166156833987732	0.250725105633711	0.178105998737605	0.276692509596212	0.135151437807095	0.208850440284618	0.416560350663902	0.240188347877424	0.333242206828411	0.0904911266701086	0.11566207591552	0.0188202392676877
Cluster_representative_49740	303	5	0	0.00087041671200087	0.00461869476252954	0	0.00532034940099566	0.00015475397841475	0.00282885431400283	0.00919205808232011	0	0.00647239686370402	0.00652247840138599	0.0120209123963229	0.00282885431400283	0.00930125117770685	0.00935133271538882	0.00919205808232011	0.00552327080742683	0.00410945699799509	0.00647239686370402	0.00652247840138599	0.00371706892899289	0.708568651291662	0.846153846153846	0.748767103016185	NA	0.588996973375414	0.988136873064856	0.771684906537981	0.846153846153846	0.667207884470721	0.945185850957449	0.748767103016185	0.100257391855498	0.419211742175043	0.588996973375414	0.988136873064856	0.263518718108109
Cluster_representative_1437	1317	12	0	0.000260073088884432	0.00259755229534965	0.00207698056827255	0.00330785616165654	0.000325742606953749	0.000134055800147829	0.00428166158062654	0.00160148316551499	0.00329794177793348	0.00441940312446269	0.0042377991241856	0.00166677770365767	0.00329538846296877	0.0043629577294155	0.00439678563382033	0.00380302087252433	0.00459280720017605	0.00314939499977318	0.00292561938073785	0.00289894173223293	0.56341726954926	0.029981960505856	0.696665389541419	0.351544676523446	0.498496883148544	0.963146312094651	0.662840863795869	0.298930609634258	0.458648154741873	0.93286484396943	0.468414740570313	0.223589791516664	0.681752926381131	0.145099815946092	0.589365043339929	0.373288754270428
Cluster_representative_25887	723	9	7.60950925250474e-05	0.000790792836068052	0.00422448978920511	0.00278298515223853	0.00384952192422374	0.000468626207254778	0.000452268144551714	0.00444225620148312	0.00194439543144062	0.0039861690703351	0.00663570623997961	0.00449570340829208	0.00212517492130272	0.00398732273654283	0.00633156644252838	0.0046677028001997	0.00455663104699115	0.00539933303743993	0.00389138682135397	0.00487523679821178	0.00375312004430058	0.504723599303604	0.0416217248150942	0.515945874497926	0.264789404836943	0.507595269106489	0.95895528824815	0.44221380173537	0.159180274413395	0.418116482299709	0.900544434402247	0.249365775693363	0.114037143871863	0.565398544235279	0.14779648221215	0.666517597597927	0.42472555094048
